Location ID,Practice Name,extracted_postcode,display_address,lat,lon,geocode_precision,admin_district,City / Town,Region,ASM Name,Area,Nation
,MyDentist â€“ The Orthodontic Centre,CF23 8RP,"Beck Court, Pontprennau, Cardiff, CF23 8RP",51.538673,-3.130637,exact,Cardiff,,,,,Wales
,The Raven Hill Dental Surgery,SA5 5DH,"566 Middle Road Ravenhill, Swansea, SA5 5DH",51.644712,-3.97524,exact,Swansea,,,,,Wales
,The Dental Centre,NP12 0LR,"Suite 4, Oakdale Health Centre Central Buildings, Blackwood, NP12 0LR",51.678417,-3.177953,exact,Caerphilly,,,,,Wales
,The Dental Department,LL29 8AY,"Colwyn Bay Community Hospital Bryn Avenue, Conwy, LL29 8AY",53.288265,-3.710466,exact,Conwy,,,,,Wales
,"The Dental Surgery, Swansea",SA3 5NG,"126A West Cross Lane, Swansea, SA3 5NG",51.584472,-4.015917,exact,Swansea,,,,,Wales
,The Gables Dental Practice,LL19 9NR,"6 Plas Uchaf Avenue, Denbighshire, LL19 9NR",53.32997,-3.399349,exact,Denbighshire,,,,,Wales
,The Grove Dental Practice,CF82 7AN,"28 Penallta Road, Ystrad Mynach, CF82 7AN",51.643025,-3.236738,exact,Caerphilly,,,,,Wales
,The Grove Dental Practice,CF46 6LR,"3 Ashgrove Terrace, Nelson, CF46 6LR",51.651157,-3.283433,exact,Caerphilly,,,,,Wales
,The Hollies Dental Practice,LL16 3AP,"65 Vale Street, Denbighshire, LL16 3AP",53.185028,-3.416296,exact,Denbighshire,,,,,Wales
,Severn Dental,NP16 5UH,"Beaufort Park, Chepstow, NP16 5UH",51.621155,-2.66994,exact,Monmouthshire,,,,,Wales
,Village Dental Practice,SA10 6HA,"61 New Road, Skewen, Neath, SA10 6HA",51.661131,-3.844331,exact,Neath Port Talbot,,,,,Wales
,The Whites Dental Centre,CF15 8AA,"Bryn Melyn, 3 Station Road, Radyr, Cardiff, CF15 8AA",51.515465,-3.250314,exact,Cardiff,,,,,Wales
,The Willows Dental and Implant Practice,LL17 0LT,"Minafon The Roe, St Asaph, LL17 0LT",53.259459,-3.450987,exact,Denbighshire,,,,,Wales
,Thomas & Stroud Dental Surgery,NP19 8HL,"383 Chepstow Road, Newport, NP19 8HL",51.58837,-2.962534,exact,Newport,,,,,Wales
,"MyDentist â€“ Thomas Street Dental Practice, Llanelli",SA15 3JE,"45 Thomas Street, Llanelli, SA15 3JE",51.684883,-4.161069,exact,Carmarthenshire,,,,,Wales
,Stephen Bowsher,CF37 5AL,"Le Havre, School Lane, Pontypridd, CF37 5AL",51.579474,-3.306813,exact,Rhondda Cynon Taf,,,,,Wales
,Sunnycourt Ltd,NP12 1AA,"Dental Practice, Blackwood, NP12 1AA",51.665349,-3.194328,exact,Caerphilly,,,,,Wales
,Swan Dental Practice,CF44 7BN,"23 Dean Street, Aberdare, CF44 7BN",51.714091,-3.445148,exact,Rhondda Cynon Taf,,,,,Wales
,Symbiosis Dental Practice,SA72 6DT,"55 London Road, Pembroke Dock, Pembrokeshire, SA72 6DT",51.695166,-4.935861,exact,Pembrokeshire,,,,,Wales
,Pembroke Dock Dental Care,SA72 6JE,"40 Queen Street, Pembroke Dock, SA72 6JE",51.694002,-4.943557,exact,Pembrokeshire,,,,,Wales
,Pembrokeshire Dental Hygiene,SA61 1BW,"3 Corner House, Portfield, Haverfordwest, SA61 1BW",51.798929,-4.979431,exact,Pembrokeshire,,,,,Wales
,Penarth Dental Healthcare,CF64 2AA,"5 Andrews Building, Penarth, CF64 2AA",51.438153,-3.173587,exact,Vale of Glamorgan,,,,,Wales
,Penclawdd Dental Practice,SA4 3YX,"4 West EndÂ , Penclawdd, SA4 3YX",51.642859,-4.114162,exact,Swansea,,,,,Wales
,Deintyddfa Penlan Dental Care,LL53 5DH,"6 Penlan Street, Gwynedd, LL53 5DH",52.889502,-4.416397,exact,Gwynedd,,,,,Wales
,Penmaenmawr Dental Practice,LL34 6BA,"Medical Hall Pant yr Arfon, Conwy, LL34 6BA",53.269945,-3.921601,exact,Conwy,,,,,Wales
,Pentrepoeth Dental Practice,SA6 6AA,"9 Pentrepoeth Road Morriston, Swansea, SA6 6AA",51.667068,-3.92489,exact,Swansea,,,,,Wales
,"United Dental, Merthyr Tydfil",CF47 8DP,"146-147 High Street, Merthyr Tydfil, CF47 8DP",51.74375,-3.378278,exact,Merthyr Tydfil,,,,,Wales
,London Road Dental Centre,SA11 1HL,"109 London Road, Neath, SA11 1HL",51.659105,-3.803982,exact,Neath Port Talbot,,,,,Wales
,University Dental Care,SA2 8PP,"Horton Residence Swansea University, Swansea, SA2 8PP",51.609631,-3.980635,exact,Swansea,,,,,Wales
,Usk Dental Practice,NP15 1BJ,"4 Priory Street, Usk, NP15 1BJ",51.703079,-2.902106,exact,Monmouthshire,,,,,Wales
,Vale View Dental Care,CF32 9TY,"Canola, Sarn, Bridgend, CF32 9TY",51.540857,-3.579865,exact,Bridgend,,,,,Wales
,Valley Dental Surgery,LL65 3DU,"2 Boston Terrace, Anglesey, LL65 3DU",53.28321,-4.561134,exact,Isle of Anglesey,,,,,Wales
,Vergam Dental Practice,SA65 9DD,"6 Vergam Terrace, Fishguard, SA65 9DD",51.996235,-4.981271,exact,Pembrokeshire,,,,,Wales
,W J Jenkins,NP8 1AG,"War Memorial Health Centre Beaufort Street, Crickhowell, NP8 1AG",51.857326,-3.133916,exact,Powys,,,,,Wales
,Huw De Lloyd Dentist,CF24 3AB,"50 The Parade, Cardiff, CF24 3AB",51.484851,-3.167959,exact,Cardiff,,,,,Wales
,Rhos Dental Practice,LL14 1AH,"Market Street, Rhos, Wrexham, LL14 1AH",53.010189,-3.05839,exact,Wrexham,,,,,Wales
,Newport Denture Clinic,NP20 2EN,"51 Cardiff Road, Newport, NP20 2EN",51.578739,-2.997097,exact,Newport,,,,,Wales
,Cowbridge Dental Specialists,CF71 7AF,"81 High Street, Cowbridge, CF71 7AF",51.462534,-3.450431,exact,Vale of Glamorgan,,,,,Wales
,Hywel Samuel and Associates,CF10 1EU,"Golate Court, Cardiff, CF10 1EU",51.479083,-3.179116,exact,Cardiff,,,,,Wales
,Ardent Dental Care,CF37 4PD,"5 Ceridwen Terrace, Pontypridd, CF37 4PD",51.604828,-3.337518,exact,Rhondda Cynon Taf,,,,,Wales
,"MyDentist â€“ Deganwy Avenue, Llandudno",LL20 2YB,"3 Deganwy Avenue, Llandudno, LL20 2YB",52.958935083333415,-3.1607580390625016,outcode_fallback,,,,,,Wales
,Portwall Dental Surgery,NP16 5EP,"5 Beaufort Square, Chepstow, NP16 5EP",51.642295,-2.674587,exact,Monmouthshire,,,,,Wales
,Ben Brookshaw Denture Clinic,NP16 5DA,"Albion House, Albion Square,, Chepstow, NP16 5DA",51.640598,-2.677365,exact,Monmouthshire,,,,,Wales
,Caernarfon Dental,LL55 1SW,"10 Church Street, Caernarfon, LL55 1SW",53.141181,-4.277673,exact,Gwynedd,,,,,Wales
,White Arcade Dental Practice Ltd,LL42 1NY,"4-5 White Arcade King Edward Street, Gwynedd, LL42 1NY",52.724005,-4.056937,exact,Gwynedd,,,,,Wales
,MyDentist â€“ Wrexham,LL13 7YP,"Ground Floor, Kingsway House Wrexham Technology Park, Wrexham, LL13 7YP",53.048988,-3.01411,exact,Wrexham,,,,,Wales
,White Gables Dental Practice,LL29 7LE,"96 Conwy Road, Conwy, LL29 7LE",53.297439,-3.733191,exact,Conwy,,,,,Wales
,Whitecross Dental Care,CF47 8DP,"29 Lower High Street, Merthyr Tydfil, CF47 8DP",51.74375,-3.378278,exact,Merthyr Tydfil,,,,,Wales
,Whitehouse Dental Practice,CF35 5NG,"14 Coychurch Road Pencoed, Pencoed (Accepting NHS Exempt & Children), CF35 5NG",51.522957,-3.500957,exact,Bridgend,,,,,Wales
,Wilson Road Dental Surgery,CF5 4LL,"29 Wilson Road, Ely, CF5 4LL",51.476472,-3.254805,exact,Cardiff,,,,,Wales
,Wilton House Dental Practice,CF14 2FB,"49 Station Road, Llandaff North, CF14 2FB",51.504206,-3.228335,exact,Cardiff,,,,,Wales
,Winchester House Dental Practice,SA67 7DB,"67 Â St James Street, Narberth, SA67 7DB",51.79824,-4.742076,exact,Pembrokeshire,,,,,Wales
,Windsor Dental Care,CF62 7AW,"2 Windsor Road, Barry, CF62 7AW",51.39814,-3.285579,exact,Vale of Glamorgan,,,,,Wales
,Woodfield Street Dental Practice,SA6 8AS,"102 Woodfield Street Morriston, Swansea, SA6 8AS",51.664577,-3.92597,exact,Swansea,,,,,Wales
,MyDentist â€“ Woodlands Dental Centre,LL59 5EA,"Mona Road, Anglesey, LL59 5EA",53.223932,-4.166364,exact,Isle of Anglesey,,,,,Wales
,Woodlands Dental Practice,SA11 3BE,"18 Victoria Gardens, Neath, SA11 3BE",51.660187,-3.801436,exact,Neath Port Talbot,,,,,Wales
,Woods Dental,SA1 4PT,"65 Walter Road, Swansea, SA1 4PT",51.618593,-3.959457,exact,Swansea,,,,,Wales
,Worcester House Dental Surgery,NP23 4DA,"11/12 Worcester Street, Brynmawr, NP23 4DA",51.799893,-3.17279,exact,Blaenau Gwent,,,,,Wales
,Wyecliffe Dental Surgery,NP4 6JT,"St James Field, Pontypool, NP4 6JT",51.700629,-3.039712,exact,Torfaen,,,,,Wales
,"Wyesome, Parry & Associates",NP44 1PT,"36 The Parade, Cwmbran, NP44 1PT",51.653372,-3.021993,exact,Torfaen,,,,,Wales
,Wyndham House Dental Practice,CF61 1XZ,"Boverton Road, Llantwit Major, CF61 1XZ",51.408489,-3.482136,exact,Vale of Glamorgan,,,,,Wales
,Xeon Smiles UK Ltd,NP20 3GY,"Dental Surgery, Newport, NP20 3GY",51.57616,-3.018874,exact,Newport,,,,,Wales
,Bupa Dental Care â€“ Tredegar,NP22 3EJ,"Unit 21, Gwent Shopping Centre, Tredegar, NP22 3EJ",51.774934,-3.245283,exact,Blaenau Gwent,,,,,Wales
,Yr Hen Orsaf Dental Practice,LL57 3NE,"Bethesda, Gwynedd, LL57 3NE",53.180917,-4.067949,exact,Gwynedd,,,,,Wales
,Ystradgynlais Dental Practice,SA9 1HD,"17 Commercial Street, Ystradgynlais, SA9 1HD",51.777844,-3.758543,exact,Powys,,,,,Wales
,Park Place Dental Practice,CF10 3DP,"Park Place, Cardiff, CF10 3DP",51.483328,-3.174559,exact,Cardiff,,,,,Wales
,Brynteg Dental Practice - Tenby,SA70 8AG,"Gas Lane, Tenby, SA70 8AG",51.677169,-4.702494,exact,Pembrokeshire,,,,,Wales
,Wellwood Dentistry & Aesthetics,CF64 2UW,"5 Cornerswell Road, Penarth, CF64 2UW",51.437192,-3.18067,exact,Vale of Glamorgan,,,,,Wales
,Dunes Dental Care,SA12 7RX,"Silver Ave, Port Talbot, SA12 7RX",51.604134,-3.824332,exact,Neath Port Talbot,,,,,Wales
,Abergele Dental Surgery,LL22 7TA,"Groes Lwyd, Conwy, LL22 7TA",53.286723,-3.58529,exact,Conwy,,,,,Wales
,Talking Teeth Chester Street,LL13 8BA,"47 Chester Street, Wrexham, LL13 8BA",53.045934,-2.991379,exact,Wrexham,,,,,Wales
,Whitcombe Dental Centre,CF44 7AU,"19 Whitcombe Street, Aberdare, CF44 7AU",51.714259,-3.445414,exact,Rhondda Cynon Taf,,,,,Wales
,Forest Dental Surgery,NP12 3NA,"Bryn Road, Cefn Fforest, Blackwood, NP12 3NA",51.669643,-3.207962,exact,Caerphilly,,,,,Wales
,MyDentist â€“ Prestatyn,LL19 9AH,"37 High Street, Prestatyn, LL19 9AH",53.335124,-3.404504,exact,Denbighshire,,,,,Wales
,North Cardiff Dental and Implants (Cloves Dental Care),CF14 1TZ,"165 Pantbach Road, Rhiwbina, Cardiff, CF14 1TZ",51.517472,-3.208125,exact,Cardiff,,,,,Wales
,Lotus Dental Studio,SA14 9DP,"13 Llwynhendy Road, Llanelli, SA14 9DP",51.679486,-4.119686,exact,Carmarthenshire,,,,,Wales
,The Water Street Dental Practice,SA31 1PY,"13 Water Street, Carmarthen, SA31 1PY",51.85731,-4.311327,exact,Carmarthenshire,,,,,Wales
,Waterfront Dental Surgery,CF63 4AR,"Heol y Llongau, Barry, CF63 4AR",51.40186,-3.26767,exact,Vale of Glamorgan,,,,,Wales
,West Coast Dental,SA5 4SQ,"326 Swansea Rd, Waunarlwydd, Swansea, SA5 4SQ",51.641689,-4.027025,exact,Swansea,,,,,Wales
,West Cross Dental Practice,SA3 5HA,"54c Mulberry Avenue West Cross, Swansea, SA3 5HA",51.588255,-4.011869,exact,Swansea,,,,,Wales
,West End  Dental Surgery,LL77 7NA,"53 High Street, Anglesey, LL77 7NA",53.255898,-4.313466,exact,Isle of Anglesey,,,,,Wales
,West End Dental (Colwyn Bay),LL29 7LL,"104 Conway Rd, Conwy, LL29 7LL",53.298974,-3.73705,exact,Conwy,,,,,Wales
,West End Dental Group,LL49 9BT,"15 Snowdon Street, Porthmadog, LL49 9BT",52.927243,-4.130032,exact,Gwynedd,,,,,Wales
,West Quay Dental Practice,CF62 5QN,"Hood Road, Barry, CF62 5QN",51.399702,-3.279255,exact,Vale of Glamorgan,,,,,Wales
,West Street Dental Practice,SA65 9AL,"23 West Street, Fishguard, SA65 9AL",51.994527,-4.978418,exact,Pembrokeshire,,,,,Wales
,West Wales Dental Implant Centre,SA31 1PY,"10 Water Street, Carmarthen, SA31 1PY",51.85731,-4.311327,exact,Carmarthenshire,,,,,Wales
,WF Dental Hygiene,CF5 1GY,"The Clinic Canton, 220 Cowbridge Road East, Canton, CF5 1GY",51.482114,-3.205649,exact,Cardiff,,,,,Wales
,Bridgend Dental Surgery,CF31 3SB,"Unit 9A, Bank Buildings, Bridgend Industrial Estate, Bridgend, CF31 3SB",51.501666,-3.538828,exact,Bridgend,,,,,Wales
,Deintyddfa Hapus Dental Practice,CF48 4JX,"11 Bridge Street, Troedyrhiw, Merthyr Tydfil, CF48 4JX",51.712636,-3.345908,exact,Merthyr Tydfil,,,,,Wales
,BEAM Denti Spa,NP16 5EU,"5a St Maryâ€™s Arcade, Nelson Street, Chepstow, Gwent, NP16 5EU",51.64228,-2.673994,exact,Monmouthshire,,,,,Wales
,Bupa Dental Care â€“ Canton,CF11 9DN,"68a Cowbridge Road East, Canton, CF11 9DN",51.481489,-3.19548,exact,Cardiff,,,,,Wales
,Bupa Dental Care â€“ Penarth,CF64 2AJ,"25 Hickman Road, Penarth, CF64 2AJ",51.437777,-3.175203,exact,Vale of Glamorgan,,,,,Wales
,Quayside Orthodontics (Carmarthen),SA31 3LN,"1st Floor, The MacGregor Office Suite, The Quay, Carmarthen, SA31 3LN",51.854843,-4.30786,exact,Carmarthenshire,,,,,Wales
,Deintyddfa GlandÅµr â€“ Pwllheli,LL53 5HA,"7 Y Maes, Cei'r Gogledd, Pwllheli, LL53 5HA",52.887602,-4.419145,exact,Gwynedd,,,,,Wales
,Brecon Road Dental Practice,NP7 5UG,"34 Brecon Road, Abergavenny, NP7 5UG",51.824781,-3.024649,exact,Monmouthshire,,,,,Wales
,Dewi Sant Dental,SA31 3HB,"Parc Dewis Sant, Jobswell Road, SA31 3HB",51.857426,-4.332798,exact,Carmarthenshire,,,,,Wales
,Gwaelod-y-Garth Dental,CF15 9SS,"River House, Gwaelod-y-Garth, CF15 9SS",51.534548,-3.261059,exact,Cardiff,,,,,Wales
,MyDentist City Link Retail Park,CF24 1AN,"City Link Retail Park, Cardiff, CF24 1AN",51.491509,-3.146609,exact,Cardiff,,,,,Wales
,Cwtch Dental Care,CF15 7NE,"Village Way, Cardiff, CF15 7NE",51.529084,-3.238822,exact,Cardiff,,,,,Wales
,The Nook Dental Practice,CH6 6ED,"High Street, Bagillt, CH6 6ED",53.269233,-3.172186,exact,Flintshire,,,,,Wales
,Carmarthen Dental Centre,SA31 1PZ,"Carmarthen, SA31 1PZ",51.857137,-4.311434,exact,Carmarthenshire,,,,,Wales
,Dental Lounge Cardiff,CF5 2DT,"Llandaff, Cardiff, CF5 2DT",51.492719,-3.217525,exact,Cardiff,,,,,Wales
,Ringland Dental Centre,NP19 9PS,"19 Hills Health and Wellbeing Centre, Ringland Circle, NP19 9PS",51.593785,-2.933357,exact,Newport,,,,,Wales
,Rhyl Smiles,LL18 1AL,"8 Kinmel Street, Rhyl, LL18 1AL",53.319112,-3.489176,exact,Denbighshire,,,,,Wales
,Dysynni Dental Clinic,LL36 9AD,"Tyddyn Du, 4 High Street, LL36 9AD",52.58623,-4.090941,exact,Gwynedd,,,,,Wales
,Tywi Dental Practice,SA19 6HN,"22 Crescent Road, Llandeilo, SA19 6HN",51.883449,-3.990371,exact,Carmarthenshire,,,,,Wales
,MAEH Dental,LL22 8LJ,"Unit 5440, North Wales Business Park, LL22 8LJ",53.287976,-3.597158,exact,Conwy,,,,,Wales
,Luna Dental,CF10 2RG,"St Davidâ€™s Shopping Centre, 36 Queen Street, CF10 2RG",51.48167,-3.17672,exact,Cardiff,,,,,Wales
,Deintyddfa Glandwr,LL77 7EN,"Glanhwfa Road, Llangefni, LL77 7EN",53.255017,-4.311619,exact,Isle of Anglesey,,,,,Wales
,Alyn Dental,CH7 1EG,"25 Chester Street, Mold, CH7 1EG",53.167164,-3.140111,exact,Flintshire,,,,,Wales
,Isca Dental,NP18 1AZ,"High Street, Caerleon, NP18 1AZ",51.610728,-2.956422,exact,Newport,,,,,Wales
,Noa Clinic,CF14 2FD,"93 Station Road, Cardiff, CF14 2FD",51.5059,-3.228827,exact,Cardiff,,,,,Wales
,Parklands Dental Practice,NP25 3BR,"7 Priory Street, Monmouth, NP25 3BR",51.813027,-2.715152,exact,Monmouthshire,,,,,Wales
,The North Wales Dental Hub,CH5 4DF,"Connahâ€™s Quay, CH5 4DF",53.216225,-3.04949,exact,Flintshire,,,,,Wales
,Dental Clinic Llandrindod,LD1 5DG,"Middleton Street, Llandrindod Wells, LD1 5DG",52.240807,-3.378848,exact,Powys,,,,,Wales
,Seren Dental,CF24 3YR,"40 Wellfield Road, Cardiff, CF24 3YR",51.495545,-3.164991,exact,Cardiff,,,,,Wales
,BUPA The Parade Specialist Dental Centre,CF24 3AB,"23 The Parade, Roath, CF24 3AB",51.484851,-3.167959,exact,Cardiff,,,,,Wales
,East Street Dental Centre,CF61 1XY,"4a Barons Close House, East Street, CF61 1XY",51.408437,-3.484104,exact,Vale of Glamorgan,,,,,Wales
,St Clears Dental Studio,SA33 4AA,"Pentre Road, St Clears, SA33 4AA",51.819872,-4.495747,exact,Carmarthenshire,,,,,Wales
,The 247 Dentist,CF11 9LP,"102 Cathedral Road, Cardiff, CF11 9LP",51.48655,-3.195641,exact,Cardiff,,,,,Wales
,Willows Dental Practice,SA1 3EN,"2-3 Craddock Street, Swansea, SA1 3EN",51.62067,-3.94705,exact,Swansea,,,,,Wales
,Jamil Dental,CF44 9SW,"56 High Street, Hirwaun, Aberdare, CF44 9SW",51.738939,-3.510637,exact,Rhondda Cynon Taf,,,,,Wales
,Denture Design Centre,CF31 1JZ,"1d Crosby Yard Industrial Estate, Cemetery Road, Bridgend, CF31 1JZ",51.514689,-3.580545,exact,Bridgend,,,,,Wales
,Andrews Denture Clinic,CF14 3JP,"89 Whitchurch Road, Cardiff, CF14 3JP",51.502835,-3.191269,exact,Cardiff,,,,,Wales
,Threeways Dental Laboratory,CF72 8HZ,"Talbot Square, Talbot Green, Pontyclun, CF72 8HZ",51.536426,-3.388573,exact,Rhondda Cynon Taf,,,,,Wales
,Cyncoed Dental Practice,CF23 6PA,"289 Cyncoed Road, Cardiff, CF23 6PA",51.524665,-3.165518,exact,Cardiff,,,,,Wales
,Mumbles Dental House,SA3 5TW,"360 Mumbles Road, West Cross, Swansea, SA3 5TW",51.581857,-4.002103,exact,Swansea,,,,,Wales
,Opal Dental Practice,CF11 9PG,"97 Cathedral Road, Cardiff, CF11 9PG",51.485531,-3.19511,exact,Cardiff,,,,,Wales
,Bridge End Dental Practice,LL12 9AY,"6 Bridge End Mews, Caergwrle, Wrexham, LL12 9AY",53.11031,-3.032359,exact,Flintshire,,,,,Wales
,St Julian's Dental Centre,NP19 7FY,"164 Caerleon Road, Newport, NP19 7FY",51.597016,-2.981471,exact,Newport,,,,,Wales
,Llanfyllin Dental Practice,SY22 6AU,"Llansantffraid, Powys, SY22 6AU",52.776479,-3.147602,exact,Powys,,,,,Wales
,Isaac Dental Practice,NP25 3DL,"17 St James Street, Monmouth, NP25 3DL",51.81244,-2.711211,exact,Monmouthshire,,,,,Wales
,Rowlands Dental Practice,NP25 3DL,"17 St James Street, Monmouth, NP25 3DL",51.81244,-2.711211,exact,Monmouthshire,,,,,Wales
,Y Bont Faen Dental Centre,CF71 7AB,"64c Eastgate, Cowbridge, CF71 7AB",51.460856,-3.445081,exact,Vale of Glamorgan,,,,,Wales
,Thrive Dental Care,NP44 1PT,"36 The Parade, Cwmbran, NP44 1PT",51.653372,-3.021993,exact,Torfaen,,,,,Wales
,Eirlys Dental Centre,LL29 8PL,"Suite 2, Prince's Park,, 1 Princes Dr, Colwyn Bay, LL29 8PL",53.298413,-3.732946,exact,Conwy,,,,,Wales
,Swansea Surgery,SA2 9AE,"26 Dilwyn Street, Sketty, Swansea, SA2 9AE",51.617622,-3.987757,exact,Swansea,,,,,Wales
,Quayside Orthodontics Neyland,SA73 1PF,"3 Dolphin Court, Brunel Quay, Neyland, Pembrokeshire, SA73 1PF",51.709637,-4.939115,exact,Pembrokeshire,,,,,Wales
,Deintyddfa Na-NÃ³g Dental Implant Centre,LL57 4FH,"8 Llys Castan, Ffordd y Parc,, Parc Menai, Bangor, LL57 4FH",53.208689,-4.185288,exact,Gwynedd,,,,,Wales
,Cedars Dental Surgery,CF14 5LZ,"189 Fidlas Road, Llanishen, Cardiff, CF14 5LZ",51.528121,-3.184088,exact,Cardiff,,,,,Wales
,Smart Smiles Ystrad Mynach,CF82 7AA,"19 Bedwlwyn Road, Ystrad Mynach, CF82 7AA",51.642132,-3.236135,exact,Caerphilly,,,,,Wales
,Old Oak Dental Practice,SA31 2NF,"Unit 8, Pensarn Industrial Estate, Carmarthen, SA31 2NF",51.844131,-4.305628,exact,Carmarthenshire,,,,,Wales
,Craig Dental,LD1 5DL,"1 Imperial Buildings, Temple Street, Llandrindod Wells,, LD1 5DL",52.240931,-3.37749,exact,Powys,,,,,Wales
,Taf Dental Centre,CF37 2DS,"18 Morgan Street, Pontypridd, CF37 2DS",51.606085,-3.339259,exact,Rhondda Cynon Taf,,,,,Wales
,Grand Valley Dental,CF39 8AB,"17 Mill St, Tonyrefail, Porth, CF39 8AB",51.582835,-3.430545,exact,Rhondda Cynon Taf,,,,,Wales
,Cwmbrwla Dental Practice,SA5 8NN,"4-5 Mansel Terrace, Cwmbrwla, Swansea, SA5 8NN",51.635583,-3.952227,exact,Swansea,,,,,Wales
,Haven Dental Practice,SA73 2ND,"73 Great North Road,, Milford Haven, SA73 2ND",51.716376,-5.027879,exact,Pembrokeshire,,,,,Wales
,Eirlys Dental Centre,LL55 2BD,"Caernarfon, Unit 1E, Cibyn Industrial Estate,, Caernarfon,, LL55 2BD",53.139598,-4.249375,exact,Gwynedd,,,,,Wales
,Toothopia,LL11 1PF,"59 Regent Street, Wrexham, LL11 1PF",53.048437,-3.000567,exact,Wrexham,,,,,Wales
,Glynneath Dental Lounge,SA11 5DU,"Addoldy Road, Glynneath, Neath, SA11 5DU",51.745522,-3.629001,exact,Neath Port Talbot,,,,,Wales
,Dental Academy Bangor,LL57 1EP,"Ty Glyder, 339 High Street, Bangor, LL57 1EP",53.206743823008864,-4.1119590176991165,outcode_fallback,,,,,,Wales
,"MyDentist, Oxford Road",HR3 5AJ,"Oxford Road, Hay On Wye, HR3 5AJ",52.073322,-3.124527,exact,Powys,,,,,Wales
,Astro Dental,CF83 3LW,"Morgan Street, Llanbradach, Caerphilly, CF83 3LW",51.607164,-3.23081,exact,Caerphilly,,,,,Wales
,Cardigan Dental Practice,SA43 1JX,"Cardigan Integrated Care Centre, Rhodfaâ€™r Felin, Cardigan, SA43 1JX",52.088702,-4.662755,exact,Ceredigion,,,,,Wales
,Red House Dental Practice,NP44 3BG,"195 Llantarnum Road, Llantarnum, Cwmbran, NP44 3BG",51.640538,-3.01299,exact,Torfaen,,,,,Wales
,The Bay Orthodontics,LL29 7AY,"3a Lansdowne Road, Colwyn Bay, LL29 7AY",53.294894,-3.731378,exact,Conwy,,,,,Wales
,Cardiff Dental and Aesthetics,CF11 6QQ,"107 Clare Road, Cardiff, CF11 6QQ",51.473198,-3.186653,exact,Cardiff,,,,,Wales
,Wrexham Dental Works,LL13 7YT,"Yale Technology Park, Wrecsam, LL13 7YT",53.048872,-3.009736,exact,Wrexham,,,,,Wales
,Castlewood Dental Care,LL16 3LH,"Lenten Pool, Denbigh, LL16 3LH",53.183329,-3.423842,exact,Denbighshire,,,,,Wales
,Penwood Dental Care,LL48 6LD,"Unit 2A Snowdonia Business Park, Penrhyndeudraeth, LL48 6LD",52.926338,-4.080132,exact,Gwynedd,,,,,Wales
,Crescent Dental,SA2 0PB,"Uplands, Swansea, SA2 0PB",51.618513,-3.964755,exact,Swansea,,,,,Wales
,Coastwood Dental Practice,LL18 4HZ,"43 Ffordd Elan, Park View Estate, LL18 4HZ",53.323063,-3.459645,exact,Denbighshire,,,,,Wales
,South Wales Specialist Oral Surgery and Dental Implant Centre,CF15 9SS,"3 Ynysbridge Court, Gwaelod-y-Garth, CF15 9SS",51.534548,-3.261059,exact,Cardiff,,,,,Wales
,The Dental Suite,SA4 8ST,"84 St Teilo Street, Pontarddulais, SA4 8ST",51.714326,-4.041349,exact,Swansea,,,,,Wales
,Pearl Dental Hygiene Clinic,LL28 4HN,"2 Allanson Road, Rhos on Sea, LL28 4HN",53.304648,-3.744319,exact,Conwy,,,,,Wales
,Thornhill Dental Clinic,CF14 9BB,"2nd Floor, North Cardiff Medical Centre, Excalibur Drive, CF14 9BB",51.537717,-3.194546,exact,Cardiff,,,,,Wales
,The Hawkins Practice,SA6 8BU,"46 Morfydd Street, Morriston, Swansea, SA6 8BU",51.662568,-3.923441,exact,Swansea,,,,,Wales
,Brecon Dental Care,LD3 7DG,"3 Wheat Street, Brycheiniog, LD3 7DG",51.947248,-3.392015,exact,Powys,,,,,Wales
,Aman Dental Practice,SA18 2NP,"42 Margaret Street, Ammanford, SA18 2NP",51.794501,-3.986944,exact,Carmarthenshire,,,,,Wales
,TÅ· Dant Dental Practice,NP22 3NG,"Bevan Health and Wellbeing Centre, Park Row, NP22 3NG",51.769506,-3.247525,exact,Blaenau Gwent,,,,,Wales
,Aberkenfig Village Dental Care,CF32 9AP,"109 Bridgend Road, Aberkenfig, CF32 9AP",51.539895,-3.596457,exact,Bridgend,,,,,Wales
,Smart Smiles Caerphilly,CF83 2AX,"9 Beddau Way,, Caerphilly, CF83 2AX",51.570564,-3.245636,exact,Caerphilly,,,,,Wales
,Smart Smiles (Ebbw Vale),NP23 6DL,"Unit 2 The Walk, Ebbw Vale, NP23 6DL",51.777219,-3.207165,exact,Blaenau Gwent,,,,,Wales
,Celtic Dental Practice,SA19 6LW,"LLandeilo, Carmarthenshire, SA19 6LW",51.885353,-3.990513,exact,Carmarthenshire,,,,,Wales
,Rumney Endodontic and Dental Care Centre,CF3 4FG,"Rumney, Cardiff, CF3 4FG",51.507725,-3.133257,exact,Cardiff,,,,,Wales
,Brecon Dental Care,LD3 9BU,"12 Castle Street, Brecon, LD3 9BU",51.948899,-3.392328,exact,Powys,,,,,Wales
,Pen Y Bont Dental Centre,CF31 1LH,"10 Derwen Road, Bridgend, CF31 1LH",51.507136,-3.576522,exact,Bridgend,,,,,Wales
,Central Dental Care,LL19 9LR,"5 Nant Hall Road, Prestatyn, LL19 9LR",53.335259,-3.403728,exact,Denbighshire,,,,,Wales
